Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
469,359,0.765458422,199,115,184,145,5,1,13-Jan
456,315,0.690789474,145,101,202,168,6,1,14-Jan
558,456,0.817204301,52,37,155,120,5,1,15-Jan
519,416,0.801541426,154,123,217,183,5,1,16-Jan
693,580,0.836940837,70,49,240,220,5,1,17-Jan
638,552,0.865203762,73,62,279,262,6,1,18-Jan
515,436,0.846601942,52,39,286,263,4,1,19-Jan
