Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
464,361,0.778017241,116,79,104,73,5,1,6-Jan
590,473,0.801694915,68,39,263,232,5,1,7-Jan
339,275,0.81120944,159,100,84,55,5,0,8-Jan
426,357,0.838028169,62,38,185,164,4,1,9-Jan
476,443,0.930672269,57,41,142,119,5,1,10-Jan
777,633,0.814671815,58,46,227,195,4,1,11-Jan
350,305,0.871428571,215,106,191,149,5,1,12-Jan
