Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
685,585,0.854014599,88,64,222,193,5,1,30-Dec
438,370,0.844748858,134,97,96,72,4,1,31-Dec
819,602,0.735042735,97,62,212,187,5,1,1-Jan
542,500,0.922509225,74,54,140,116,4,1,2-Jan
557,482,0.86535009,133,109,167,139,4,1,3-Jan
597,545,0.912897822,172,101,195,160,5,1,4-Jan
518,490,0.945945946,41,35,105,81,6,1,5-Jan
