Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
541,467,0.863216266,69,33,211,193,5,1,23-Dec
511,367,0.718199609,107,75,122,102,4,1,24-Dec
677,548,0.809453471,145,80,185,165,6,1,25-Dec
621,532,0.85668277,149,99,170,147,4,1,26-Dec
690,605,0.876811594,75,53,205,185,5,1,27-Dec
543,425,0.782688766,126,73,211,190,5,1,28-Dec
548,426,0.777372263,106,70,234,201,6,1,29-Dec
