Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
424,326,0.768867925,206,152,129,85,4,1,9-Dec
629,567,0.901430843,54,31,270,232,6,1,10-Dec
605,484,0.8,122,71,242,190,6,1,11-Dec
432,228,0.527777778,129,70,103,50,5,1,12-Dec
222,139,0.626126126,134,57,62,20,5,0,13-Dec
714,557,0.780112045,114,55,448,408,5,1,14-Dec
547,346,0.632541133,88,42,340,298,5,1,15-Dec
