Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
470,333,0.708510638,123,81,156,128,5,1,20-Jan
313,224,0.715654952,163,67,197,164,4,0,21-Jan
409,260,0.635696822,173,108,117,86,4,0,22-Jan
558,439,0.786738351,86,48,218,192,4,1,23-Jan
600,453,0.755,139,91,224,207,6,1,24-Jan
547,491,0.8976234,54,43,166,146,5,1,25-Jan
406,275,0.677339901,158,76,160,128,5,1,26-Jan
