Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
330,266,0.806060606,148,67,272,233,5,1,16-Dec
560,490,0.875,153,115,300,258,5,1,17-Dec
603,557,0.92371476,74,35,454,422,5,1,18-Dec
271,203,0.749077491,137,59,155,103,4,0,19-Dec
706,557,0.788951841,105,56,281,233,4,1,20-Dec
552,425,0.769927536,176,93,149,117,5,1,21-Dec
626,549,0.876996805,81,44,287,263,6,1,22-Dec
