Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation — single daily item,DATE 
446,342,0.766816143,43,27,149,131,4,1,3-Feb
513,451,0.8791423,64,46,243,226,5,1,4-Feb
515,497,0.965048544,222,111,262,232,6,1,5-Feb
223,166,0.744394619,44,41,178,164,6,0,6-Feb
416,327,0.786057692,182,112,213,177,4,1,7-Feb
